RANK,"MALE NAME","NUMBER OF MALES","FEMALE NAME","NUMBER OF FEMALES"
775,Gannon,302,Raina,354
776,Allan,301,Ariadne,353
777,Felipe,301,Yareli,353
778,Rodney,301,Zaria,353
779,Sonny,301,Hana,352
780,Zyaire,301,Kairi,352
781,Cory,300,Aya,350
782,Juelz,300,Lexie,350
783,Augustine,299,Ryann,350
784,Jacoby,299,Thalia,349
785,Joey,298,Christine,348
786,Marc,297,Estella,348
787,Bobby,296,Karter,348
788,Harlan,296,Annabel,347
789,Anson,295,Keyla,347
790,Marlon,291,Tori,346
791,Huxley,290,Adele,345
792,Anders,289,Landry,345
793,Guillermo,289,Estelle,344
794,Shepherd,289,Miah,344
795,Azariah,288,Perla,344
796,Payton,288,Rylan,344
797,Castiel,286,Lailah,343
798,Damari,286,Rivka,342
799,Harold,285,Angelique,341
800,Harper,285,Avalynn,341
801,Elisha,284,Romina,341
802,Henrik,284,Mavis,340
803,Kairo,284,Scarlette,340
804,Houston,283,Ari,338
805,Willie,282,Louise,338
806,Emory,280,Jaycee,337
807,Skylar,280,Jaylene,337
808,Toby,280,Kai,337
809,Ameer,279,Belle,336
810,Blaze,278,Lea,336
811,Wayne,278,Zaniyah,336
812,Alfonso,277,Ayleen,335
813,Brentley,277,Calliope,335
814,Shiloh,277,Nalani,335
815,Sutton,277,Dalary,334
816,Bodie,275,Sky,334
817,Darian,274,Isabela,333
818,Eugene,274,Joselyn,333
819,Gordon,274,Kaelyn,333
820,London,274,Giovanna,331
821,Jermaine,273,Jewel,331
822,Denver,272,Paola,331
823,Jordy,272,Dream,330
824,Kody,270,Karlee,330
825,Gerald,269,Madalynn,330
826,Merrick,269,Aubriella,328
827,Vincenzo,269,Tinley,328
828,Musa,268,Whitney,328
829,Yahir,268,Aliana,327
830,Brodie,267,Azariah,327
831,Tadeo,266,Corinne,327
832,Bentlee,265,Erica,326
833,Billy,265,Claudia,325
834,Darwin,265,Joyce,325
835,Trace,265,Milena,325
836,Vance,265,Alyson,324
